about_2(1a) 	 1 	 3 	 0.33
about_3(2)-1 	 4 	 4 	 1.0
about_5(3a) 	 4 	 4 	 1.0
above_1(1) 	 3 	 7 	 0.43
above_10(n) 	 13 	 13 	 1.0
above_2(1a) 	 9 	 13 	 0.69
above_3(1b) 	 1 	 6 	 0.17
above_5(2a) 	 2 	 5 	 0.4
above_6(2b) 	 2 	 6 	 0.33
above_7(2c) 	 3 	 3 	 1.0
above_8(2d) 	 7 	 8 	 0.88
across_3(n) 	 8 	 10 	 0.8
after_11(n) 	 5 	 5 	 1.0
after_2(1a) 	 5 	 5 	 1.0
after_3(1b) 	 1 	 1 	 1.0
after_4(1c) 	 4 	 7 	 0.57
after_5(2) 	 14 	 15 	 0.93
after_6(2a) 	 9 	 10 	 0.9
after_7(3) 	 5 	 8 	 0.62
after_8(4) 	 1 	 1 	 1.0
after_9(5) 	 8 	 8 	 1.0
against_11(n) 	 1 	 1 	 1.0
against_3(1b) 	 13 	 17 	 0.76
against_4(2) 	 3 	 6 	 0.5
against_5(2a) 	 5 	 6 	 0.83
against_6(2b) 	 5 	 8 	 0.62
against_7(2c) 	 2 	 3 	 0.67
against_8(3) 	 2 	 3 	 0.67
against_9(3a) 	 5 	 5 	 1.0
among_4(4) 	 1 	 2 	 0.5
around_4(3)-1 	 3 	 8 	 0.38
around_6(n) 	 4 	 4 	 1.0
as_2(2) 	 1 	 1 	 1.0
as_3(n) 	 6 	 6 	 1.0
at_1(1) 4(2b) 	 5 	 8 	 0.62
at_10(5a) 	 7 	 7 	 1.0
at_12(n) 	 0 	 4 	 0.0
at_3(2a) 	 1 	 2 	 0.5
at_4(2b) 	 1 	 2 	 0.5
at_6(3a) 	 0 	 1 	 0.0
at_7(4) 	 5 	 9 	 0.56
at_8(4a) 	 7 	 7 	 1.0
at_9(5) 11(6)-1 	 1 	 3 	 0.33
before_2(2) 	 9 	 11 	 0.82
before_3(2a) 	 8 	 12 	 0.67
behind_4(2a) 	 11 	 15 	 0.73
behind_5(3) 	 4 	 8 	 0.5
behind_7(4) 	 2 	 3 	 0.67
