sense	tasks	freq	in50	cover	score	opt
under_10(4b)	11	39	159/429	0.37	3921/8580	0.457
under_11(4c)	25	50	1023/1250	0.82	26664/31875	0.837
under_12(4d)	9	38	180/342	0.53	3523/6669	0.528
under_14(5)	7	34	82/238	0.34	1200/4165	0.288
under_15(5a)	18	47	292/846	0.35	7848/20304	0.387
under_2(1a)	38	50	1255/1900	0.66	32654/48450	0.674
under_3(2)	5	12	20/60	0.33	125/390	0.321
under_4(2a)	4	9	15/36	0.42	18/180	0.1
under_5(2b)	5	17	25/85	0.29	201/765	0.263
under_7(3)	3	30	79/90	0.88	1324/1395	0.949
under_8(4)	9	35	116/315	0.37	2057/5670	0.363
under_9(4a)	5	24	78/120	0.65	760/1500	0.507
until_1(1)	64	50	3200/3200	1.0	81600/81600	1.0
unto_1(1)	17	50	725/850	0.85	18953/21675	0.874
unto_1(1)-1	11	24	259/264	0.98	3076/3300	0.932
unto_3(n)	4	18	47/72	0.65	332/684	0.485
unto_4(n)	2	18	20/36	0.56	139/342	0.406
up_1(1)	42	50	1565/2100	0.75	40669/53550	0.759
up_2(1a)	5	20	41/100	0.41	228/1050	0.217
up_3(2)	14	50	308/700	0.44	9380/17850	0.525
upon_1(1)	5	14	38/70	0.54	196/525	0.373
upon_11(5)	17	40	188/680	0.28	4129/13940	0.296
upon_11(5)-1	8	50	317/400	0.79	8568/10200	0.84
upon_18(8a)	1	6	6/6	1.0	9/21	0.429
upon_2(1a)	1	10	2/10	0.2	0/55	0.0
upon_8(3)	13	50	315/650	0.48	9670/16575	0.583
upon_9(3a)	14	50	450/700	0.64	12667/17850	0.71
via_1(1)	23	50	788/1150	0.69	20975/29325	0.715
via_2(1a)	32	50	905/1600	0.57	24227/40800	0.594
via_3(1b)	12	50	295/600	0.49	8630/15300	0.564
with_1(1)	90	50	3044/4500	0.68	80826/114750	0.704
with_1(1)-1	12	50	171/600	0.28	5022/15300	0.328
with_10(7a)	2	14	2/28	0.07	0/210	0.0
with_11(7b)	28	50	780/1400	0.56	21654/35700	0.607
with_11(7b) 7(5)	9	26	202/234	0.86	2258/3159	0.715
with_12(7c)	5	14	23/70	0.33	140/525	0.267
with_13(8)	4	10	34/40	0.85	116/220	0.527
with_15(9)-1	1	19	13/19	0.68	140/190	0.737
with_2(2)	46	50	1333/2300	0.58	34857/58650	0.594
with_2(2) 3(2a)	2	17	10/34	0.29	26/306	0.085
with_3(2a)	4	23	20/92	0.22	188/1104	0.17
with_4(3)	57	50	1812/2850	0.64	48055/72675	0.661
with_4(3)-1	11	27	111/297	0.37	1724/4158	0.415
with_5(3a)	101	50	4091/5050	0.81	106030/128775	0.823
with_6(4)	35	50	1005/1750	0.57	27662/44625	0.62
with_7(5)	24	50	743/1200	0.62	19991/30600	0.653
with_8(6)	1	5	4/5	0.8	12/15	0.8
with_9(7)	89	50	2828/4450	0.64	76481/113475	0.674
without_1(1)	14	49	143/686	0.21	3736/17150	0.218
without_2(1a)	54	50	2040/2700	0.76	51902/68850	0.754
without_3(2)	18	50	478/900	0.53	12538/22950	0.546
